matrix_name,rank,num_procs,run,elapsed_time,comm_time,local_nz,ghost_entries,local_flops
Matrix size: 1806 x 1806, NNZ (file): 32630
../data/bcsstk14.mtx,0,1,0,0.000036001,0.000012875,63454,0,126908
../data/bcsstk14.mtx,0,1,1,0.000032187,0.000013113,63454,0,126908
../data/bcsstk14.mtx,0,1,2,0.000027418,0.000012159,63454,0,126908
../data/bcsstk14.mtx,0,1,3,0.000029564,0.000012636,63454,0,126908
../data/bcsstk14.mtx,0,1,4,0.000029564,0.000012875,63454,0,126908
../data/bcsstk14.mtx,0,1,5,0.000026941,0.000011921,63454,0,126908
../data/bcsstk14.mtx,0,1,6,0.000025988,0.000011921,63454,0,126908
../data/bcsstk14.mtx,0,1,7,0.000026941,0.000011921,63454,0,126908
../data/bcsstk14.mtx,0,1,8,0.000026703,0.000013113,63454,0,126908
../data/bcsstk14.mtx,0,1,9,0.000025272,0.000010967,63454,0,126908
Matrix_Name,Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio,System_P90_Time,Total_GFLOPs
../data/bcsstk14.mtx,1,0,0.00,0,1.0000,0.000036001,3.5251
Matrix size: 1806 x 1806, NNZ (file): 32630
../data/bcsstk14.mtx,0,2,0,0.028008461,0.027997732,31793,872,63586
../data/bcsstk14.mtx,0,2,1,0.025994539,0.025985003,31793,872,63586
../data/bcsstk14.mtx,0,2,2,0.026000500,0.025989294,31793,872,63586
../data/bcsstk14.mtx,0,2,3,0.025998592,0.025989056,31793,872,63586
../data/bcsstk14.mtx,0,2,4,0.025998116,0.025988817,31793,872,63586
../data/bcsstk14.mtx,0,2,5,0.026015043,0.026005507,31793,872,63586
../data/bcsstk14.mtx,0,2,6,0.027236700,0.027226925,31793,872,63586
../data/bcsstk14.mtx,0,2,7,0.028988838,0.026984215,31793,872,63586
../data/bcsstk14.mtx,0,2,8,0.040744066,0.026985645,31793,872,63586
../data/bcsstk14.mtx,0,2,9,0.028007984,0.027998924,31793,872,63586
../data/bcsstk14.mtx,1,2,0,0.001021385,0.001009703,31661,888,63322
../data/bcsstk14.mtx,1,2,1,0.002020597,0.002009869,31661,888,63322
../data/bcsstk14.mtx,1,2,2,0.002017736,0.002007246,31661,888,63322
../data/bcsstk14.mtx,1,2,3,0.002016306,0.002006292,31661,888,63322
../data/bcsstk14.mtx,1,2,4,0.002016068,0.002006054,31661,888,63322
../data/bcsstk14.mtx,1,2,5,0.002016544,0.002007008,31661,888,63322
../data/bcsstk14.mtx,1,2,6,0.000021219,0.000011683,31661,888,63322
../data/bcsstk14.mtx,1,2,7,0.008014202,0.008004904,31661,888,63322
../data/bcsstk14.mtx,1,2,8,0.011015177,0.011005163,31661,888,63322
../data/bcsstk14.mtx,1,2,9,0.001017332,0.001007080,31661,888,63322
Matrix_Name,Num_Processes,Ghost_Entries_Min,Ghost_Entries_Avg,Ghost_Entries_Max,Load_Imbalance_Ratio,System_P90_Time,Total_GFLOPs
../data/bcsstk14.mtx,2,872,880.00,888,1.0021,0.040744066,0.0031
Matrix size: 1806 x 1806, NNZ (file): 32630
../data/bcsstk14.mtx,0,4,0,0.091006517,0.090997458,15850,1318,31700
../data/bcsstk14.mtx,0,4,1,0.089010239,0.089001894,15850,1318,31700
../data/bcsstk14.mtx,0,4,2,0.089007139,0.088999271,15850,1318,31700
