matrix_name,mode,num_procs,total_gflops,p90_time,load_imbalance,ghost_avg
bcsstk14.mtx,Hybrid (MPI+OMP),1,3.5251,3.6001e-05,1.0,0.0
bcsstk14.mtx,Hybrid (MPI+OMP),2,0.0031,0.040744066,1.0021,880.0
bcsstk14.mtx,Hybrid (MPI+OMP),4,0.0014,0.093070269,1.0102,1321.5
bcsstk14.mtx,Hybrid (MPI+OMP),8,0.0005,0.279004335,1.0221,1539.75
bcsstk14.mtx,Hybrid (MPI+OMP),16,0.0002,0.541012049,1.0454,1569.69
bcsstk14.mtx,Hybrid (MPI+OMP),32,0.0001,1.036996365,1.0782,1278.91
bcsstk14.mtx,Hybrid (MPI+OMP),64,0.0001,1.341021299,1.0883,770.92
bcsstk14.mtx,Hybrid (MPI+OMP),128,0.0001,2.068816185,1.1579,415.28
bcsstk14.mtx,Pure MPI,1,1.957,6.485e-05,1.0,0.0
bcsstk14.mtx,Pure MPI,2,3.6965,3.4332e-05,1.0021,880.0
bcsstk14.mtx,Pure MPI,4,4.3276,2.9325e-05,1.0102,1321.5
bcsstk14.mtx,Pure MPI,8,4.2583,2.9802e-05,1.0221,1539.75
bcsstk14.mtx,Pure MPI,16,1.6845,7.534e-05,1.0454,1569.69
bcsstk14.mtx,Pure MPI,32,0.3363,0.000377417,1.0782,1278.91
bcsstk14.mtx,Pure MPI,64,0.1247,0.00101757,1.0883,770.92
bcsstk14.mtx,Pure MPI,128,0.0535,0.002373219,1.1579,415.28
