matrix_name,mode,num_procs,total_gflops,p90_time,load_imbalance,ghost_avg
torso1.mtx,Hybrid (MPI+OMP),1,4.5702,0.003726959,1.0,0.0
torso1.mtx,Hybrid (MPI+OMP),2,0.1562,0.109030247,1.0002,58079.0
torso1.mtx,Hybrid (MPI+OMP),4,0.1724,0.098819733,1.0014,79482.5
torso1.mtx,Hybrid (MPI+OMP),8,0.0618,0.275563955,1.0031,53546.75
torso1.mtx,Hybrid (MPI+OMP),16,0.0322,0.529575348,1.0095,30817.81
torso1.mtx,Hybrid (MPI+OMP),32,0.0161,1.058337927,1.0182,19371.28
torso1.mtx,Hybrid (MPI+OMP),64,0.0129,1.319246769,1.0354,13626.39
torso1.mtx,Hybrid (MPI+OMP),128,0.0088,1.93412137,1.3045,13263.38
torso1.mtx,Pure MPI,1,1.4161,0.012027979,1.0,0.0
torso1.mtx,Pure MPI,2,2.6565,0.006411791,1.0002,58079.0
torso1.mtx,Pure MPI,4,4.6887,0.003632784,1.0014,79482.5
torso1.mtx,Pure MPI,8,5.8007,0.002936363,1.0031,53546.75
torso1.mtx,Pure MPI,16,4.1715,0.004083157,1.0095,30817.81
torso1.mtx,Pure MPI,32,14.2513,0.001195192,1.0182,19371.28
torso1.mtx,Pure MPI,64,10.4082,0.001636505,1.0354,13626.39
torso1.mtx,Pure MPI,128,0.0412,0.413765192,1.3045,13263.38
