matrix,mode,schedule,chunk_size,num_threads,run_number,l1_loads,l1_misses,l1_miss_rate_percent,llc_loads,llc_misses,llc_miss_rate_percent
bcsstk14.mtx,sequential,none,none,1,1,24285654,83665,0.3445,2050,178,8.6829
bcsstk14.mtx,sequential,none,none,1,2,24285654,82874,0.3412,2050,110,5.3659
bcsstk14.mtx,sequential,none,none,1,3,24285655,80375,0.3310,2017,48,2.3798
bcsstk14.mtx,sequential,none,none,1,4,24285654,80271,0.3305,2114,309,14.6168
bcsstk14.mtx,sequential,none,none,1,5,24285652,80862,0.3330,2104,296,14.0684
FEM_3D_thermal2.mtx,sequential,none,none,1,1,2754362484,5095686,0.1850,24993,8820,35.2899
FEM_3D_thermal2.mtx,sequential,none,none,1,2,2754362487,5046800,0.1832,24029,7751,32.2569
FEM_3D_thermal2.mtx,sequential,none,none,1,3,2754362486,4991185,0.1812,25636,7639,29.7979
FEM_3D_thermal2.mtx,sequential,none,none,1,4,2754362486,4979993,0.1808,24335,7888,32.4142
FEM_3D_thermal2.mtx,sequential,none,none,1,5,2754362488,4874610,0.1770,34324,4127,12.0237
pdb1HYS.mtx,sequential,none,none,1,1,1641215589,5086670,0.3099,24968,10156,40.6761
pdb1HYS.mtx,sequential,none,none,1,2,1641215587,5054735,0.3080,24827,10292,41.4549
pdb1HYS.mtx,sequential,none,none,1,3,1641215586,5000904,0.3047,24563,9837,40.0480
pdb1HYS.mtx,sequential,none,none,1,4,1641215587,4997440,0.3045,23291,10100,43.3644
pdb1HYS.mtx,sequential,none,none,1,5,1641215586,4964369,0.3025,24746,10142,40.9844
rajat24.mtx,sequential,none,none,1,1,1520543113,3084962,0.2029,110226,10344,9.3844
rajat24.mtx,sequential,none,none,1,2,1520543109,3165919,0.2082,109581,10674,9.7407
rajat24.mtx,sequential,none,none,1,3,1520543113,3217229,0.2116,108524,10032,9.2440
rajat24.mtx,sequential,none,none,1,4,1520543106,3226089,0.2122,109551,9914,9.0497
rajat24.mtx,sequential,none,none,1,5,1520543110,3181368,0.2092,109044,10368,9.5081
torso1.mtx,sequential,none,none,1,1,6470011122,26538967,0.4102,84404,62419,73.9527
torso1.mtx,sequential,none,none,1,2,6470011123,26802245,0.4143,86733,62199,71.7132
torso1.mtx,sequential,none,none,1,3,6470011122,26899353,0.4158,84827,61510,72.5123
torso1.mtx,sequential,none,none,1,4,6470011122,26616613,0.4114,84366,62055,73.5545
torso1.mtx,sequential,none,none,1,5,6470011122,26498622,0.4096,84828,60973,71.8784
bcsstk14.mtx,parallel,static,1,1,1,24298451,81078,0.3337,2287,309,13.5111
bcsstk14.mtx,parallel,static,1,1,2,24298451,79629,0.3277,2096,59,2.8149
bcsstk14.mtx,parallel,static,1,1,3,24298449,77748,0.3200,2267,14,0.6176
bcsstk14.mtx,parallel,static,1,1,4,24298447,78007,0.3210,2110,24,1.1374
bcsstk14.mtx,parallel,static,1,1,5,24298455,78839,0.3245,2217,36,1.6238
bcsstk14.mtx,parallel,static,1,2,1,24311994,87662,0.3606,4023,19,0.4723
bcsstk14.mtx,parallel,static,1,2,2,24312746,88600,0.3644,4024,20,0.4970
bcsstk14.mtx,parallel,static,1,2,3,24316555,89230,0.3670,3719,41,1.1024
bcsstk14.mtx,parallel,static,1,2,4,24316346,88213,0.3628,3871,39,1.0075
bcsstk14.mtx,parallel,static,1,2,5,24315808,87877,0.3614,3740,28,0.7487
bcsstk14.mtx,parallel,static,1,4,1,24363484,98635,0.4048,9744,5855,60.0883
bcsstk14.mtx,parallel,static,1,4,2,24358708,91070,0.3739,8186,3561,43.5011
bcsstk14.mtx,parallel,static,1,4,3,24356948,94392,0.3875,9512,5633,59.2199
bcsstk14.mtx,parallel,static,1,4,4,24348843,94294,0.3873,9294,5417,58.2849
bcsstk14.mtx,parallel,static,1,4,5,24359614,96102,0.3945,9483,5686,59.9599
bcsstk14.mtx,parallel,static,1,8,1,24417661,98345,0.4028,11756,5797,49.3110
bcsstk14.mtx,parallel,static,1,8,2,24452731,98967,0.4047,11498,5022,43.6772
bcsstk14.mtx,parallel,static,1,8,3,24434604,100210,0.4101,11003,5277,47.9596
bcsstk14.mtx,parallel,static,1,8,4,24451859,99690,0.4077,11143,4479,40.1956
bcsstk14.mtx,parallel,static,1,8,5,24415456,99779,0.4087,11894,5420,45.5692
bcsstk14.mtx,parallel,static,1,16,1,24751956,104594,0.4226,14856,7082,47.6710
bcsstk14.mtx,parallel,static,1,16,2,24660428,102415,0.4153,13951,6273,44.9645
bcsstk14.mtx,parallel,static,1,16,3,24697267,105667,0.4278,14775,7328,49.5973
bcsstk14.mtx,parallel,static,1,16,4,24690265,102579,0.4155,14088,5936,42.1352
