matrix,mode,schedule,chunk_size,num_threads,90percentile
bcsstk14.mtx,sequential,none,none,1,0.000068
FEM_3D_thermal2.mtx,sequential,none,none,1,0.004650
pdb1HYS.mtx,sequential,none,none,1,0.005826
rajat24.mtx,sequential,none,none,1,0.003011
torso1.mtx,sequential,none,none,1,0.012970
bcsstk14.mtx,parallel,static,1,1,0.000083
bcsstk14.mtx,parallel,static,1,2,0.000093
bcsstk14.mtx,parallel,static,1,4,0.000175
bcsstk14.mtx,parallel,static,1,8,0.000176
bcsstk14.mtx,parallel,static,1,16,0.000313
bcsstk14.mtx,parallel,static,1,32,0.000387
bcsstk14.mtx,parallel,static,10,1,0.000086
bcsstk14.mtx,parallel,static,10,2,0.000100
bcsstk14.mtx,parallel,static,10,4,0.000116
bcsstk14.mtx,parallel,static,10,8,0.000139
bcsstk14.mtx,parallel,static,10,16,0.000186
bcsstk14.mtx,parallel,static,10,32,0.000396
bcsstk14.mtx,parallel,static,100,1,0.000083
bcsstk14.mtx,parallel,static,100,2,0.000066
bcsstk14.mtx,parallel,static,100,4,0.000113
bcsstk14.mtx,parallel,static,100,8,0.000109
bcsstk14.mtx,parallel,static,100,16,0.000172
bcsstk14.mtx,parallel,static,100,32,0.000378
bcsstk14.mtx,parallel,static,1000,1,0.000077
bcsstk14.mtx,parallel,static,1000,2,0.000094
bcsstk14.mtx,parallel,static,1000,4,0.000081
bcsstk14.mtx,parallel,static,1000,8,0.000170
bcsstk14.mtx,parallel,static,1000,16,0.000214
bcsstk14.mtx,parallel,static,1000,32,0.000365
bcsstk14.mtx,parallel,dynamic,1,1,0.000123
bcsstk14.mtx,parallel,dynamic,1,2,0.000194
bcsstk14.mtx,parallel,dynamic,1,4,0.000469
bcsstk14.mtx,parallel,dynamic,1,8,0.000484
bcsstk14.mtx,parallel,dynamic,1,16,0.000459
bcsstk14.mtx,parallel,dynamic,1,32,0.000534
bcsstk14.mtx,parallel,dynamic,10,1,0.000084
bcsstk14.mtx,parallel,dynamic,10,2,0.000089
bcsstk14.mtx,parallel,dynamic,10,4,0.000154
bcsstk14.mtx,parallel,dynamic,10,8,0.000163
bcsstk14.mtx,parallel,dynamic,10,16,0.000239
bcsstk14.mtx,parallel,dynamic,10,32,0.000472
bcsstk14.mtx,parallel,dynamic,100,1,0.000080
bcsstk14.mtx,parallel,dynamic,100,2,0.000091
bcsstk14.mtx,parallel,dynamic,100,4,0.000083
bcsstk14.mtx,parallel,dynamic,100,8,0.000111
bcsstk14.mtx,parallel,dynamic,100,16,0.000196
bcsstk14.mtx,parallel,dynamic,100,32,0.000443
bcsstk14.mtx,parallel,dynamic,1000,1,0.000075
bcsstk14.mtx,parallel,dynamic,1000,2,0.000070
bcsstk14.mtx,parallel,dynamic,1000,4,0.000133
bcsstk14.mtx,parallel,dynamic,1000,8,0.000165
bcsstk14.mtx,parallel,dynamic,1000,16,0.000251
bcsstk14.mtx,parallel,dynamic,1000,32,0.000423
bcsstk14.mtx,parallel,guided,1,1,0.000072
bcsstk14.mtx,parallel,guided,1,2,0.000062
bcsstk14.mtx,parallel,guided,1,4,0.000095
bcsstk14.mtx,parallel,guided,1,8,0.000144
bcsstk14.mtx,parallel,guided,1,16,0.000204
bcsstk14.mtx,parallel,guided,1,32,0.000486
bcsstk14.mtx,parallel,guided,10,1,0.000073
bcsstk14.mtx,parallel,guided,10,2,0.000094
bcsstk14.mtx,parallel,guided,10,4,0.000099
bcsstk14.mtx,parallel,guided,10,8,0.000132
bcsstk14.mtx,parallel,guided,10,16,0.000236
bcsstk14.mtx,parallel,guided,10,32,0.000597
bcsstk14.mtx,parallel,guided,100,1,0.000078
bcsstk14.mtx,parallel,guided,100,2,0.000088
bcsstk14.mtx,parallel,guided,100,4,0.000115
bcsstk14.mtx,parallel,guided,100,8,0.000100
bcsstk14.mtx,parallel,guided,100,16,0.000202
bcsstk14.mtx,parallel,guided,100,32,0.000331
bcsstk14.mtx,parallel,guided,1000,1,0.000078
bcsstk14.mtx,parallel,guided,1000,2,0.000093
bcsstk14.mtx,parallel,guided,1000,4,0.000164
bcsstk14.mtx,parallel,guided,1000,8,0.000167
bcsstk14.mtx,parallel,guided,1000,16,0.000268
bcsstk14.mtx,parallel,guided,1000,32,0.000444
FEM_3D_thermal2.mtx,parallel,static,1,1,0.004967
FEM_3D_thermal2.mtx,parallel,static,1,2,0.004004
FEM_3D_thermal2.mtx,parallel,static,1,4,0.005530
FEM_3D_thermal2.mtx,parallel,static,1,8,0.004503
FEM_3D_thermal2.mtx,parallel,static,1,16,0.003006
FEM_3D_thermal2.mtx,parallel,static,1,32,0.002220
FEM_3D_thermal2.mtx,parallel,static,10,1,0.004758
FEM_3D_thermal2.mtx,parallel,static,10,2,0.004129
FEM_3D_thermal2.mtx,parallel,static,10,4,0.002959
FEM_3D_thermal2.mtx,parallel,static,10,8,0.002121
FEM_3D_thermal2.mtx,parallel,static,10,16,0.001418
FEM_3D_thermal2.mtx,parallel,static,10,32,0.001618
FEM_3D_thermal2.mtx,parallel,static,100,1,0.004795
FEM_3D_thermal2.mtx,parallel,static,100,2,0.002660
FEM_3D_thermal2.mtx,parallel,static,100,4,0.001944
FEM_3D_thermal2.mtx,parallel,static,100,8,0.001335
FEM_3D_thermal2.mtx,parallel,static,100,16,0.001015
FEM_3D_thermal2.mtx,parallel,static,100,32,0.001326
FEM_3D_thermal2.mtx,parallel,static,1000,1,0.004770
FEM_3D_thermal2.mtx,parallel,static,1000,2,0.002523
FEM_3D_thermal2.mtx,parallel,static,1000,4,0.001783
FEM_3D_thermal2.mtx,parallel,static,1000,8,0.001212
FEM_3D_thermal2.mtx,parallel,static,1000,16,0.000971
FEM_3D_thermal2.mtx,parallel,static,1000,32,0.001118
FEM_3D_thermal2.mtx,parallel,dynamic,1,1,0.007594
FEM_3D_thermal2.mtx,parallel,dynamic,1,2,0.012268
FEM_3D_thermal2.mtx,parallel,dynamic,1,4,0.023551
FEM_3D_thermal2.mtx,parallel,dynamic,1,8,0.026060
FEM_3D_thermal2.mtx,parallel,dynamic,1,16,0.021397
FEM_3D_thermal2.mtx,parallel,dynamic,1,32,0.018185
FEM_3D_thermal2.mtx,parallel,dynamic,10,1,0.004957
FEM_3D_thermal2.mtx,parallel,dynamic,10,2,0.005014
FEM_3D_thermal2.mtx,parallel,dynamic,10,4,0.004808
FEM_3D_thermal2.mtx,parallel,dynamic,10,8,0.003862
FEM_3D_thermal2.mtx,parallel,dynamic,10,16,0.003012
FEM_3D_thermal2.mtx,parallel,dynamic,10,32,0.002877
FEM_3D_thermal2.mtx,parallel,dynamic,100,1,0.004808
FEM_3D_thermal2.mtx,parallel,dynamic,100,2,0.002735
FEM_3D_thermal2.mtx,parallel,dynamic,100,4,0.001866
FEM_3D_thermal2.mtx,parallel,dynamic,100,8,0.001408
FEM_3D_thermal2.mtx,parallel,dynamic,100,16,0.001200
FEM_3D_thermal2.mtx,parallel,dynamic,100,32,0.001646
FEM_3D_thermal2.mtx,parallel,dynamic,1000,1,0.004798
FEM_3D_thermal2.mtx,parallel,dynamic,1000,2,0.002503
FEM_3D_thermal2.mtx,parallel,dynamic,1000,4,0.001543
FEM_3D_thermal2.mtx,parallel,dynamic,1000,8,0.001145
FEM_3D_thermal2.mtx,parallel,dynamic,1000,16,0.001037
FEM_3D_thermal2.mtx,parallel,dynamic,1000,32,0.002409
FEM_3D_thermal2.mtx,parallel,guided,1,1,0.004755
FEM_3D_thermal2.mtx,parallel,guided,1,2,0.002455
